sample,study,ACLY,ACSS2,ACACA,SCD,FASN,ACSL1,HMGCS1,HMGCR,MVK,PMVK,sample_type,primary disease or tissue,OS,OS.time
GTEX-11XUK-1726-SM-5GU61,GTEX,16.9951,14.63,14.2493,18.766,19.3245,16.7398,12.0969,11.0385,9.9695,9.7856,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-11TT1-2426-SM-5EQMK,GTEX,16.552,15.1298,14.0221,20.5027,20.3063,16.921,14.523,12.8888,10.6131,9.6599,Normal Tissue,Adipose - Subcutaneous,,
GTEX-WY7C-2726-SM-3NB3P,GTEX,16.503,15.5228,14.2377,19.7896,19.3048,16.8295,12.3027,10.1245,9.9453,10.0168,Normal Tissue,Breast - Mammary Tissue,,
GTEX-11I78-1626-SM-5A5M2,GTEX,16.4511,14.2475,13.8266,18.8674,19.1196,16.974,12.0847,11.1161,9.9046,9.8902,Normal Tissue,Esophagus - Gastroesophageal Junction,,
GTEX-11TT1-1926-SM-5PNYN,GTEX,16.2702,15.0979,14.8651,20.0315,20.1988,17.1585,13.9061,12.3848,11.4802,10.4381,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-ZDXO-0126-SM-5S2ND,GTEX,16.2044,14.8322,13.737,19.3867,18.6759,16.2335,12.1707,9.8436,9.5757,9.7845,Normal Tissue,Breast - Mammary Tissue,,
GTEX-YJ8A-0526-SM-5IFHT,GTEX,16.1311,13.9625,13.2844,17.8318,18.3455,15.4859,12.2168,10.553,9.2453,9.6922,Normal Tissue,Adipose - Subcutaneous,,
GTEX-ZYWO-2526-SM-5GIDM,GTEX,16.0537,13.2647,13.7498,19.0147,19.3715,17.097,11.06,9.5104,9.6253,9.8069,Normal Tissue,Adipose - Subcutaneous,,
GTEX-OHPN-0226-SM-48TBV,GTEX,15.8115,15.1387,13.9682,20.2608,18.7306,16.452,12.4303,10.6364,10.0623,9.7271,Normal Tissue,Adipose - Subcutaneous,,
GTEX-11TUW-2626-SM-5EQKZ,GTEX,15.7959,13.5826,13.3902,19.0595,18.3435,15.6523,12.5879,10.8742,9.1933,9.9583,Normal Tissue,Adipose - Subcutaneous,,
GTEX-1339X-0726-SM-5L3FF,GTEX,15.7881,14.2659,13.7312,18.7523,19.2676,17.2972,13.8214,12.0649,10.5538,10.2918,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-X4XY-0926-SM-4E3JD,GTEX,15.7491,13.2274,13.9391,18.4192,18.1985,16.4342,11.0268,9.8229,9.3866,9.9849,Normal Tissue,Breast - Mammary Tissue,,
GTEX-WY7C-2426-SM-3NB2V,GTEX,15.7049,15.0083,13.6129,19.6469,19.1267,17.3705,12.211,10.0065,9.7852,10.3175,Normal Tissue,Adipose - Subcutaneous,,
GTEX-XXEK-1426-SM-4BRW1,GTEX,15.68,13.8506,13.3607,18.583,18.2053,15.9907,11.1274,10.0897,9.0578,9.7726,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-U8XE-0426-SM-3DB91,GTEX,15.6009,14.1865,13.4729,18.3136,18.5171,15.6844,11.9532,10.7583,9.0774,10.0965,Normal Tissue,Adipose - Subcutaneous,,
GTEX-11XUK-2126-SM-5EQLR,GTEX,15.5563,13.4566,13.9724,18.2106,18.3102,16.0587,11.7333,10.3751,9.7099,9.8933,Normal Tissue,Adipose - Subcutaneous,,
GTEX-XYKS-1826-SM-4E3JV,GTEX,15.4177,12.6806,13.6983,18.681,18.6371,16.5042,10.8877,10.1583,8.8015,9.6878,Normal Tissue,Adipose - Visceral (Omentum),,
